id	word	extended word	transformed	label
10805756	nuclear	s nuclear l	l lllllll l	False
10805771	when	n when a	l llll l	False
10660554	coexpressed	n coexpressed w	l lllllllllll l	False
9819429	CBFalpha2.	h CBFalpha2. C	l UUUllllld. U	True
10391244	sequestration	, sequestration o	, lllllllllllll l	False
10799510	further	s further i	l lllllll l	False
10801841	confirmed	s confirmed b	l lllllllll l	False
10802669	vivo	n vivo a	l llll l	False
10777664	knock-in	O knock-in m	U lllll-ll l	False
10805756	mouse	f mouse e	l lllll l	False
10233166	model.	t model. T	l lllll. U	False
10805771	These	. These U	. Ullll U	False
10801814	observations	e observations i	l llllllllllll l	False
10777669	plays	t plays a	l lllll l	False
10801814	negative	a negative r	l llllllll l	False
10802669	role	a role f	l llll l	False
9782094	sequestering	d sequestering t	l llllllllllll l	False
10801330	cytoskeletal	n cytoskeletal r	l llllllllllll l	False
9819429	aggregates,	d aggregates, t	l llllllllll, l	False
10777477	thereby	, thereby r	, lllllll l	False
10521347	disrupting	y disrupting t	l llllllllll l	False
9819429	CBFalpha2-mediated	g CBFalpha2-mediated r	l UUUllllld-llllllll l	False
10801330	regulation	e regulation o	l llllllllll l	False
10799513	expression.	A expression. D	U llllllllll. U	False
9881967	Differentiating	. Differentiating c	. Ullllllllllllll l	False
10805756	cells	e cells a	l lllll l	False
10801811	undergo	o undergo H	l lllllll U	False
10777477	programmed	s programmed c	l llllllllll l	False
10692104	alterations	h alterations i	l lllllllllll l	False
10805771	their	d their i	l lllll l	False
10727396	patterns	t patterns o	l llllllll l	False
10802661	expression,	d expression, M	l llllllllll, U	False
10805787	which	, which r	, lllll l	False
10805787	are	s are a	l lll l	False
10801811	often	s often u	l lllll l	False
10777494	regulated	y regulated b	l lllllllll l	False
10801778	structural	s structural m	l llllllllll l	False
10742099	changes	o changes i	l lllllll l	False
10742099	chromatin.	n chromatin. W	l lllllllll. U	False
10802669	Here	. Here w	. Ulll l	False
10805787	we	, we d	, ll l	False
10802669	demonstrate	e demonstrate t	l lllllllllll l	False
10799545	T	y T c	l U l	True
10802655	cell	s cell t	l llll l	False
10805756	differentiation	e differentiation i	l lllllllllllllll l	False
10082481	long-range	d long-range p	l llll-lllll l	False
10742099	chromatin	f chromatin r	l lllllllll l	False
10801860	structure	n structure a	l lllllllll l	False
10792047	effector	m effector p	l llllllll l	False
10805787	cytokine	n cytokine s	l llllllll l	False
10801860	genes,	c genes, s	l lllll, l	False
15684654	persist	s persist f	l lllllll l	False
10801330	resting	e resting s	l lllllll l	False
9806643	Th1	f Th1 a	l Uld l	False
10741397	Th2	h Th2 (	l Uld (	False
10801785	absence	e absence o	l lllllll l	False
10805787	stimulation.	e stimulation. A	l lllllllllll. U	False
10321732	Differentiation	l Differentiation C	l Ullllllllllllll U	False
10588729	naive	o naive l	l lllll l	False
10051547	helper	T helper c	U llllll l	False
10788493	mature	y mature M	l llllll U	False
10444591	remodeling	e remodeling a	l llllllllll l	False
8332913	IL-4	d IL-4 a	l UU-d l	False
16849611	IL-13	r IL-13 s	l UU-dd l	False
2559830	evokes	d evokes o	l llllll l	False
9806643	IFNgamma	s IFNgamma d	l UUUlllll l	True
10805787	but	, but n	, lll l	False
10805787	not	s not i	l lll l	False
10802664	genes.	n genes. M	l lllll. U	False
10764807	locus	s locus D	l lllll U	False
10749211	accompanied	e accompanied b	l lllllllllll l	False
9881967	demethylation	y demethylation a	l lllllllllllll l	False
10777477	requires	, requires t	, llllllll l	False
10802669	both	3 both i	d llll l	False
10777496	antigen	c antigen r	l lllllll l	False
10799545	stimulation	n stimulation o	l lllllllllll l	False
9881967	STAT6	d STAT6 a	l UUUUd l	True
10805787	activation.	e activation. B	l llllllllll. U	False
10800960	propose	e propose f	l lllllll l	False
10610178	loci	r loci c	l llll l	False
10802669	functionally	e functionally i	l llllllllllll l	False
12468115	productive	e productive e	l llllllllll l	False
10805771	may	y may a	l lll l	False
10801811	explain	t explain t	l lllllll l	False
10580157	coordinate	e coordinate t	l llllllllll l	False
9846486	pre-T	e pre-T c	l lll-U l	False
10801330	receptor	g receptor a	l llllllll l	False
1698028	(TCR)	r (TCR) c	l (UUU) l	True
10574993	lineage	d lineage k	l lllllll l	False
10524629	commitment	e commitment i	l llllllllll l	False
9846486	gammadelta	n gammadelta T	l llllllllll U	False
10601238	versus	) versus h	) llllll l	False
9846486	alphabeta	e alphabeta l	l lllllllll l	False
10333475	addressed	e addressed w	l lllllllll l	False
10637769	analyzing	o analyzing t	l lllllllll l	False
9846485	TCRbeta	d TCRbeta c	l UUUllll l	True
10698974	rearrangements	n rearrangements i	l llllllllllllll l	False
10805771	from	y from t	l llll l	False
10805756	wild-type	f wild-type S	l llll-llll U	False
9846486	pre-TCR-deficient	d pre-TCR-deficient m	l lll-UUU-lllllllll l	False
10783264	single	a single c	l llllll l	False
10801849	polymerase	A polymerase e	U llllllllll l	False
10319321	reaction.	e reaction. I	l llllllll. U	False
10737974	Results	. Results o	. Ullllll l	False
10802669	show	o show t	l llll l	False
9846486	pre-TCR	e pre-TCR c	l lll-UUU l	True
9846486	selects	R selects a	U lllllll l	False
10788476	against	d against a	l lllllll l	False
10801860	containing	l containing t	l llllllllll l	False
10760467	rearranged	y rearranged i	l llllllllll l	False
11720006	Vbeta	f Vbeta r	l Ullll l	False
10802664	genes	P genes h	U lllll l	False
10190901	precursors	t precursors t	l llllllllll l	False
10802669	express	r express n	l lllllll l	False
9846486	pre-TCRalpha	e pre-TCRalpha p	l lll-UUUlllll l	False
10802669	protein.	t protein. W	l lllllll. U	False
10801814	Furthermore,	. Furthermore, t	. Ullllllllll, l	False
9846486	pre-TCR-induced	, pre-TCR-induced p	, lll-UUU-lllllll l	False
10751414	proliferation	e proliferation a	l lllllllllllll l	False
10805756	could	n could m	l lllll l	False
10805756	be	d be p	l ll l	False
10801811	detected	e detected a	l llllllll l	False
10802669	cells.	S cells. A	U lllll. U	False
10207106	commits	t commits l	l lllllll l	False
10644438	developing	e developing h	l llllllllll l	False
10805771	an	, an a	, ll l	False
9869644	instructive	t instructive s	l lllllllllll l	False
10805771	mechanism	d mechanism r	l lllllllll l	False
10805787	has	n has n	l lll l	False
10792047	largely	s largely u	l lllllll l	False
10760592	replaced	s replaced b	l llllllll l	False
10784606	evolutionary	t evolutionary a	l llllllllllll l	False
10805756	more	n more e	l llll l	False
10613843	ancient	f ancient d	l lllllll l	False
9234444	stochastic	e stochastic a	l llllllllll l	False
10524629	commitment.	e commitment. L	l llllllllll. U	False
11237607	A	e A M	l U U	False
10801841	gene,	) gene, e	) llll, l	False
9428527	mper1,	. mper1, u	. lllld, l	False
10783258	having	s having 8	l llllll d	False
10801860	all	h all S	l lll U	False
10802655	properties	l properties o	l llllllllll l	False
10620514	expected	e expected m	l llllllll l	False
10640688	circadian	n circadian c	l lllllllll l	False
9428526	clock	a clock g	l lllll l	False
10801775	reported	y reported t	l llllllll l	False
9428527	recently.	d recently. T	l llllllll. U	False
10802669	pattern	e pattern o	l lllllll l	False
10632589	suprachiasmatic	e suprachiasmatic n	l lllllllllllllll l	False
9428527	(SCN).	s (SCN). m	l (UUU). l	True
9428527	mper1	t mper1 i	l lllld l	False
10217480	maintains	n maintains s	l lllllllll l	False
10805756	expression	f expression o	l llllllllll l	False
10777476	constant	e constant o	l llllllll l	False
9428527	darkness	t darkness a	l llllllll l	False
10802655	can	s can b	l lll l	False
10640688	entrained	y entrained b	l lllllllll l	False
10801860	new	a new m	l lll l	False
9428527	light/dark	w light/dark c	l lllll/llll l	False
10777476	cycle.	e cycle. T	l lllll. U	False
10805787	report	e report h	l llllll l	False
10783264	isolation	e isolation o	l lllllllll l	False
10777673	second	e second e	l llllll l	False
10799540	mammalian	e mammalian S	l lllllllll U	False
9428527	mper2,	d mper2, i	l lllld, l	False
10802669	also	e also s	l llll l	False
10802664	these	n these p	l lllll l	False
10770948	greater	w greater p	l lllllll l	False
10805787	homology	c homology 2	l llllllll d	False
10801860	Drosophila	e Drosophila m	l Ulllllllll l	False
10775515	period.	e period. O	l llllll. U	False
10072385	Expression	e Expression P	l Ulllllllll U	False
9428527	mper2	d mper2 i	l lllld l	False
10719215	overlapping	e overlapping p	l lllllllllll l	False
9428527	asynchronous	t asynchronous b	l llllllllllll l	False
10675337	4	, 4 C	, d U	False
2580891	hr.	8 hr. T	d ll. U	False
10777483	unlike	, unlike m	, llllll l	False
10802669	period	r period o	l llllll l	False
10799503	rapidly	e rapidly i	l lllllll l	False
10802669	after	i after a	l lllll l	False
10802669	exposure	r exposure t	l llllllll l	False
10783262	light	n light o	l lllll l	False
9658121	at	k at S	l ll U	False
9428527	CT22.	t CT22. I	l UUdd. U	False
10801841	It	. It h	. Ul l	False
10802669	appears	e appears t	l lllllll l	False
8240039	pacemaker	, pacemaker i	, lllllllll l	False
10788476	component	a component o	l lllllllll l	False
182126	responds	d responds t	l llllllll l	False
10788320	thus	, thus b	, llll l	False
10799849	mediates	1 mediates a	d llllllll l	False
9428527	photic	s photic e	l llllll l	False
9428527	entrainment.	c entrainment. A	l lllllllllll. U	False
9883732	prefrontal	e prefrontal (	l llllllllll (	False
9883732	(PF)	l (PF) c	l (UU) l	False
10527559	cortex	c cortex i	l llllll l	False
10805787	been	t been u	l llll l	False
10805771	implicated	y implicated m	l llllllllll l	False
10788491	remarkable	d remarkable a	l llllllllll l	False
10805756	ability	s ability t	l lllllll l	False
10331946	primates	n primates i	l llllllll l	False
10805787	form	c form o	l llll l	False
9883732	rearrange	d rearrange a	l lllllllll l	False
17292552	arbitrary	g arbitrary a	l lllllllll l	False
10702256	associations	t associations b	l llllllllllll l	False
9883732	rapidly.	s rapidly. T	l lllllll. U	False
10801811	studied	) studied u	) lllllll l	False
10805756	two	e two P	l lll U	False
10331946	monkeys,	d monkeys, a	l lllllll, l	False
10805787	using	y using a	l lllll l	False
10199403	task	d task b	l llll l	False
10805756	required	r required f	l llllllll l	False
10734069	them	d them i	l llll l	False
10065153	learn	o learn a	l lllll l	False
10638746	make	e make e	l llll l	False
10805787	specific	e specific r	l llllllll l	False
6628590	saccades	l saccades i	l llllllll l	False
10802669	response	s response i	l llllllll l	False
10760467	particular	f particular i	l llllllllll l	False
10651874	cues	o cues i	l llll l	False
10805756	then	e then a	l llll l	False
67168	repeatedly	n repeatedly i	l llllllllll l	False
10777582	reverse	e reverse t	l lllllll l	False
10799849	responses.	y responses. C	l lllllllll. U	False
10805756	found	e found t	l lllll l	False
10805756	activity	d activity o	l llllllll l	False
10660554	individual	g individual d	l llllllllll l	False
10448049	PF	, PF 7	, UU d	False
10725331	neurons	r neurons (	l lllllll (	False
10706668	represented	y represented o	l lllllllllll l	False
10734104	responses,	c responses, w	l lllllllll, l	False
10757639	perhaps	d perhaps I	l lllllll U	False
10760467	providing	d providing a	l lllllllll l	False
10770948	neural	f neural c	l llllll l	False
10805771	substrate	d substrate s	l lllllllll l	False
9630597	for	e for B	l lll U	False
10792058	association.	n association. H	l lllllllllll. U	False
10801841	during	d during t	l llllll l	False
7276195	learning,	t learning, a	l llllllll, l	False
9883732	conveyed	y conveyed t	l llllllll l	False
10692104	direction	e direction o	l lllllllll l	False
9883732	animals'	e animals' i	l lllllll' l	False
9883732	impending	' impending r	' lllllllll l	False
10799849	responses	y responses c	l lllllllll l	False
10551800	progressively	m progressively g	l lllllllllllll l	False
10777568	earlier	r earlier i	l lllllll l	False
10777568	each	m each o	l llll l	False
10499802	successive	s successive i	l llllllllll l	False
8825501	trial.	d trial. I	l lllll. U	False
10777520	final	e final i	l lllll l	False
10783258	level	t level o	l lllll l	False
10672042	just	y just b	l llll l	False
10781601	before	d before s	l llllll l	False
10564661	response,	g response, i	l llllllll, l	False
10801849	however,	, however, c	, lllllll, l	False
10710235	unaffected	s unaffected i	l llllllllll l	False
1435380	learning.	e learning. T	l llllllll. U	False
10471494	learning	d learning a	l llllllll l	False
9883732	cue-response	y cue-response a	l lll-llllllll l	False
9829980	associations,	e associations, a	l llllllllllll, l	False
10801860	critical	a critical a	l llllllll l	False
10805771	complex	f complex m	l lllllll l	False
10588729	behavior.	n behavior. T	l llllllll. U	False
10349621	glial	e glial c	l lllll l	False
9883723	line-derived	l line-derived n	l llll-lllllll l	False
1648265	neurotrophic	f neurotrophic m	l llllllllllll l	False
9883723	(GDNF)	r (GDNF) l	l (UUUU) l	True
10749568	ligands	l ligands c	l lllllll l	False
9883723	(GDNF,	s (GDNF, N	l (UUUU, U	True
9883723	Neurturin	, Neurturin [	, Ullllllll [	False
9883723	[NTN],	n [NTN], a	l [UUU], l	True
9883723	Persephin	d Persephin [	l Ullllllll [	False
9883723	[PSP])	n [PSP]) s	l [UUU]) l	True
10805787	signal	d signal t	l llllll l	False
10805787	through	d through t	l lllllll l	False
7251592	multicomponent	y multicomponent t	l llllllllllllll l	False
10802661	system	e system d	l llllll l	False
10744659	high-affinity	e high-affinity I	l llll-llllllll U	False
9883723	(GFRalpha1-GFRalpha4)	t (GFRalpha1-GFRalpha4) a	l (UUUllllld-UUUllllld) l	False
10802655	common	a common p	l llllll l	False
10805756	signaling	P signaling i	U lllllllll l	False
9883723	(RET).	t (RET). H	l (UUU). U	True
10788493	Here,	. Here, t	. Ulll, l	False
10802661	identification	e identification o	l llllllllllllll l	False
9883723	Artemin,	f Artemin, a	l Ullllll, l	False
10801841	novel	a novel h	l lllll l	False
10801860	member	w member o	l llllll l	False
15130495	GDNF	o GDNF s	l UUUU l	True
10788491	family,	n family, s	l llllll, l	False
10805787	it	, it s	, ll l	False
10799510	ligand	) ligand s	) llllll l	False
10764807	former	e former l	l llllll l	False
10783259	orphan	n orphan G	l llllll U	False
9883723	GFRalpha3-RET.	r GFRalpha3-RET. A	l UUUllllld-UUU. U	False
9883723	Artemin	, Artemin h	, Ullllll l	False
10784606	survival	f survival m	l llllllll l	False
10556287	sensory	f sensory o	l lllllll l	False
9931490	sympathetic	, sympathetic g	, lllllllllll l	False
10805756	culture,	n culture, w	l lllllll, l	False
10805756	its	s its t	l lll l	False
10802669	suggests	S suggests t	U llllllll l	False
10196175	influences	0 influences a	d llllllllll l	False
10805756	vivo.	n vivo. I	l llll. U	False
10802655	activate	n activate p	l llllllll l	False
9883723	GFRalpha1-RET	e GFRalpha1-RET c	l UUUllllld-UUU l	False
10748158	supports	s supports t	l llllllll l	False
8763104	dopaminergic	g dopaminergic a	l llllllllllll l	False
9883723	midbrain	c midbrain n	l llllllll l	False
10801811	indicating	, indicating t	, llllllllll l	False
10764811	like	, like i	, llll l	False
9883723	(GFRalpha1-RET)	F (GFRalpha1-RET) a	U (UUUllllld-UUU) l	False
9883723	NTN	d NTN (	l UUU (	True
9883723	(GFRalpha2-RET),	N (GFRalpha2-RET), A	U (UUUllllld-UUU), U	False
10734121	preferred	1 preferred s	d lllllllll l	False
9883723	(GFRalpha3-RET)	r (GFRalpha3-RET) b	l (UUUllllld-UUU) l	False
10777669	alternative	o alternative s	l lllllllllll l	False
10801785	interactions	e interactions w	l llllllllllll l	False
10233149	occur.	t occur. T	l lllll. U	False
10799524	Rho	d Rho f	l Ull l	False
10749885	GTPases	c GTPases o	l UUUllll l	True
10805756	mediate	t mediate t	l lllllll l	False
10788320	likely	e likely f	l llllll l	False
10757639	numerous	h numerous g	l llllllll l	False
10419454	shape	c shape c	l lllll l	False
10556287	embryo.	s embryo. T	l llllll. U	False
10802669	genetic	e genetic d	l lllllll l	False
10805756	screen	o screen a	l llllll l	False
10805771	pathway	s pathway c	l lllllll l	False
10742114	components	s components i	l llllllllll l	False
10518497	Drosophila,	n Drosophila, w	l Ulllllllll, l	False
10799849	identified	e identified n	l llllllllll l	False
9428514	DRhoGEF2,	, DRhoGEF2, t	, UUllUUUd, l	True
10802661	predicted	S predicted p	U lllllllll l	False
9428514	Rho-specific	d Rho-specific g	l Ull-llllllll l	False
10777494	guanine	d guanine n	l lllllll l	False
10805771	nucleotide	t nucleotide s	l llllllllll l	False
10777494	exchange	e exchange f	l llllllll l	False
10801849	factor.	g factor. p	l llllll. l	False
9428514	Embryos	. Embryos l	. Ullllll l	False
10805787	lacking	1 lacking t	d lllllll l	False
9428514	DRhoGEF2	t DRhoGEF2 m	l UUllUUUd l	True
10749568	fail	s fail t	l llll l	False
9428514	gastrulate	o gastrulate d	l llllllllll l	False
10801811	due	e due t	l lll l	False
10610180	defect	a defect i	l llllll l	False
10777486	tissue	e tissue i	l llllll l	False
9428514	invagination,	e invagination, a	l llllllllllll, l	False
10615123	dominant-negative	a dominant-negative M	l llllllll-llllllll U	False
10777494	GTPase	l GTPase R	l UUUlll U	True
10788493	early	t early e	l lllll l	False
10625552	embryos	l embryos i	l lllllll l	False
10801814	similar	o similar e	l lllllll l	False
10742114	defects.	l defects. S	l lllllll. U	False
10801860	Evidence	. Evidence f	. Ulllllll l	False
10770938	presented	e presented d	l lllllllll l	False
10801860	extracellular	e extracellular d	l lllllllllllll l	False
10734104	ligand,	t ligand, w	l llllll, l	False
9428514	Fog.	, Fog. T	, Ull. U	False
10799510	Together,	. Together, t	. Ulllllll, l	False
10802664	establish	a establish t	l lllllllll l	False
9428514	Rho-mediated	a Rho-mediated s	l Ull-llllllll l	False
10801860	essential	e essential f	l lllllllll l	False
10805756	major	e major s	l lllll l	False
10075854	morphogenetic	e morphogenetic p	l lllllllllllll l	False
10788493	events	y events i	l llllll l	False
9428514	gastrulation.	a gastrulation. T	l llllllllllll. U	False
10710235	steroid	H steroid d	U lllllll l	False
10625666	hormone	o hormone t	l lllllll l	False
11559747	ecdysone	r ecdysone c	l llllllll l	False
10777477	directs	, directs c	, lllllll l	False
9413987	metamorphosis	a metamorphosis v	l lllllllllllll l	False
10801775	via	s via c	l lll l	False
10805771	three	f three o	l lllll l	False
10799849	receptors	g receptors o	l lllllllll l	False
10799513	differ	s differ s	l llllll l	False
10727396	according	, according t	, lllllllll l	False
10777568	isoforms	P isoforms m	U llllllll l	False
10802655	encoded	2 encoded A	d lllllll U	False
9413987	EcR	f EcR m	l UlU l	False
9413987	(EcR-A,	e (EcR-A, E	l (UlU-U, U	True
9413987	EcR-B1,	f EcR-B1, E	l UlU-Ud, U	True
9413987	EcR-B2)	r EcR-B2) i	l UlU-Ud) l	True
10805787	activated	e activated b	l lllllllll l	False
9413987	USP.	r USP. W	l UUU. U	True
10800960	have	e have i	l llll l	False
10383417	molecularly	e molecularly c	l lllllllllll l	False
10802661	mapped	n mapped i	l llllll l	False
10777496	classes	o classes o	l lllllll l	False
9413987	mutations:	R mutations: t	U lllllllll: l	False
10801778	those	s those d	l lllll l	False
9413987	EcR-B1	f EcR-B1 r	l UlU-Ud l	True
9883728	uncouple	y uncouple L	l llllllll U	False
9413987	metamorphosis,	e metamorphosis, a	l lllllllllllll, l	False
9413987	embryonic-lethal	d embryonic-lethal m	l lllllllll-llllll l	False
10805756	mutations	e mutations i	l lllllllll l	False
10781587	map	h map t	l lll l	False
10783265	sequences	d sequences i	l lllllllll l	False
10802664	encoding	, encoding k	, llllllll l	False
9413987	DNA-	e DNA- a	l UUU- l	True
10622252	ligand-binding	e ligand-binding d	l llllll-lllllll l	False
10770959	domains.	l domains. I	l lllllll. U	False
10194756	larval	e larval i	l llllll l	False
10725373	salivary	d salivary g	l llllllll l	False
10739088	gland,	d gland, w	l lllll, l	False
10783265	loss	e loss o	l llll l	False
10805756	activation	a activation o	l llllllllll l	False
9413987	ecdysone-induced	f ecdysone-induced g	l llllllll-lllllll l	False
9413987	Comparable	. Comparable t	. Ulllllllll l	False
10353249	transgenic	s transgenic m	l llllllllll l	False
9413987	EcR-B2,	, EcR-B2, a	, UlU-Ud, l	True
9413987	EcR-A	d EcR-A i	l UlU-U l	True
10805787	mutant	A mutant P	U llllll U	False
10725373	glands	y glands a	l llllll l	False
10777494	results,	e results, w	l lllllll, l	False
10775527	respectively,	, respectively, a	, llllllllllll, l	False
9413987	full,	n full, p	l llll, l	False
9413987	partial,	, partial, a	, lllllll, l	False
10668096	no	S no 5	U ll d	False
10805771	repair	n repair i	l llllll l	False
11137999	loss.	g loss. I	l llll. U	False
7458533	recorded	e recorded p	l llllllll l	False
10612805	head	, head a	, llll l	False
10567713	(HD)	n (HD) p	l (UU) l	False
10075854	lateral	l lateral r	l lllllll l	False
9883731	mammillary	l mammillary n	l llllllllll l	False
9883731	(LMN)	s (LMN) a	l (UUU) l	True
10764791	anterior	r anterior f	l llllllll l	False
11165367	thalamus	, thalamus a	, llllllll l	False
9883731	(ATN)	s (ATN) o	l (UUU) l	True
10320375	freely	d freely t	l llllll l	False
9883731	behaving	y behaving r	l llllllll l	False
10383892	rats	d rats w	l llll l	False
10644717	made	n made i	l llll l	False
10512683	bilateral	h bilateral a	l lllllllll l	False
10684927	lesions	s lesions R	l lllllll U	False
9883731	LMN	t LMN m	l UUU l	True
10788476	while	, while S	, lllll U	False
11307263	recording	, recording (	, lllllllll (	False
15383276	HD	n HD b	l UU l	True
9883731	ATN.	m ATN. W	l UUU. U	True
10783391	discovered	n discovered b	l llllllllll l	False
9883731	tuning	e tuning f	l llllll l	False
10790377	functions	e functions o	l lllllllll l	False
10625666	become	y become a	l llllll l	False
9883731	narrower	e narrower d	l llllllll l	False
9883731	contraversive	g contraversive h	l lllllllllllll l	False
